,history,response,speaker,knowledge_base,dialogue_id,corrupted_response,corrupt_entity,original_entity,hallucination_tags,corrupt_relation,corrupt_history
11944,"['can you recommend any books similar to o alquimista ?', 'The author Paulo Coelho also wrote the book Brida']",It looks like it 's Portuguese language .   Is that correct ?   When was Brida written ?,user,"{'paths': [['Brida', 'written_by', 'Montserrat Mira']], 'render': 'Brida is written by Montserrat Mira'}",4326,it looks like it 's gerald mccann language .   is that correct ?   when was english written ?,"['English', 'Gerald McCann']","['Portuguese', 'Brida']","['O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O']",['written_by'],"['can you recommend any books similar to o alquimista ?', 'The author Paulo Coelho also wrote the book Brida']"
7076,"['What do you think about Marcelo Vieira ?', ""Is n't he on the Brazil national football team ? I think he 's a midfielder .""]",Yes he plays in the Fédération Internationale de Football Association . Are you a fan ?,user,"{'paths': [['Brazil national football team', '~Team', 'Fédération Internationale de Football Association']], 'render': 'Brazil national football team : `~Team`: Fédération Internationale de Football Association'}",4400,yes he plays in the england national football team . are you a fan ?,['England national football team'],['Fédération Internationale de Football Association'],"['O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O']",['Team'],
1993,['What do you think about David Guetta ?'],Is n't he a dj from Paris ? I think he did that song Night of Your Life .,assistant,"{'paths': [['David Guetta', '~has_person', 'Paris (France)']], 'render': 'David Guetta : `~has_person`: Paris (France)'}",4618,is n't he a dj from manish dayal ? i think he did that song the lost city of faar .,"['Manish Dayal', 'The Lost City of Faar']","['Paris', 'Night of Your Life']","['O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O']",,
7230,['Do you have anything by Anne Frank ?'],"Sure , she wrote The Diary of a Young Girl . Do you like Biographies like that one ?",assistant,"{'paths': [['Anne Frank', '~written_by', 'The Diary of a Young Girl'], ['The Diary of a Young Girl', 'has_genre', 'Biography']], 'render': 'Anne Frank wrote The Diary of a Young Girl. The Diary of a Young Girl has genre Biography'}",4496,"sure , she wrote anne frank remembered . do you like biographies like that one ?",['Anne Frank Remembered'],['The Diary of a Young Girl'],"['O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Adapted From'],
11946,['Do you know Mhairi Calvey ?'],Mhairi Calvey starred in Braveheart .   That is a good movie,assistant,"{'paths': [['Mhairi Calvey', '~starred_actors', 'Braveheart'], ['Braveheart', 'has_genre', 'War film']], 'render': 'Mhairi Calvey starred in Braveheart. Braveheart has genre War film'}",4328,fantasy starred in friends & neighbors .   that is a good movie,"['Friends & Neighbors', 'Fantasy']","['Braveheart', 'Mhairi Calvey']","['U-HALLUC', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['has_genre'],['Do you know Mhairi Calvey ?']
6837,"['Do you like Neverwhere', ""Is is Science Fiction , Fantasy ? I 'm more a fan or Romance novel ."", 'I do not read many Romance novels I do like the Sci - Fi movie V for Vendetta though']",I heard Lana Wachowski is one of the writer for movie . I watched that because of her . That movie is good ! Dario Marianeli compose such a good thrill music for it .,assistant,"{'paths': [['V for Vendetta', 'written_by', 'Lana Wachowski']], 'render': 'V for Vendetta is written by Lana Wachowski'}",4230,i heard andy wachowski is one of the writer for movie . i watched that because of her . that movie is good ! dario marianeli compose such a good thrill music for it .,['Andy Wachowski'],['Lana Wachowski'],"['O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Group'],
23634,"['Could you recommend books similar to Daughter of Smoke & Bone', 'My True Love Gave to Me : Twelve Holiday Stories is similar to Daughter of Smoke & Bone .', 'Can you tell me more about that book ?', 'Laini Taylor is the author of the book .', ""Did n't she also write Dreams of Gods and Monsters ?""]",Yes she did . Laini Taylor also wrote Days of Blood & Starlight .,assistant,"{'paths': [['Dreams of Gods & Monsters', 'written_by', 'Laini Taylor'], ['Laini Taylor', '~written_by', 'Days of Blood & Starlight']], 'render': 'Dreams of Gods & Monsters is written by Laini Taylor. Laini Taylor wrote Days of Blood & Starlight'}",4434,yes she did . laini taylor also wrote days of blood & starlight .,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,"['Could you recommend books similar to Daughter of Smoke & Bone', 'My True Love Gave to Me : Twelve Holiday Stories is similar to Daughter of Smoke & Bone .', 'Can you tell me more about that book ?', 'Laini Taylor is the author of the book .', ""Did n't she also write Dreams of Gods and Monsters ?""]"
13261,['Who wrote Into Thin Air ?'],Thin Air was written by John Krakauer . Have you heard of him before ?,assistant,"{'paths': [['Into Thin Air: A Personal Account of the Mt. Everest Disaster', 'written_by', 'Jon Krakauer']], 'render': 'Into Thin Air: A Personal Account of the Mt. Everest Disaster is written by Jon Krakauer'}",6351,heath ledger was written by shackleton . have you heard of him before ?,"['Shackleton', 'Heath Ledger']","['Thin Air', 'John Krakauer']","['B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[],['Who wrote Into Thin Air ?']
12104,['DO you know the author Margaret Atwood ?'],Margaret Atwood us a wonderful author ! I think you 'd really enjoy her work . She 's written The Year of the Flood and The Robber Bride . Have you read them ?,assistant,"{'paths': [['Margaret Atwood', '~written_by', 'The Year of the Flood']], 'render': 'Margaret Atwood wrote The Year of the Flood'}",4552,world series us a wonderful author ! i think you 'd really enjoy her work . she 's written fahrenheit 451 of the flood and the robber bride . have you read them ?,"['World Series', 'Fahrenheit 451']","['Margaret Atwood', 'The Year']","['B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['release_year'],['DO you know the author Margaret Atwood ?']
5875,"['I like french directors do you know if Olivier Megaton is one ?', 'Yes , he is .   He directed both Taken 2 , and Taken 3 .   Have you seen those ?', 'No I have not , do you know who wrote those movies ?', ""Robert Mark Kamen wrote Taken , and Taken 2 , but I 'm not sure he if wrote Taken 3 .   Do you enjoy Action , Crime type films ?""]","I do I like Liam Neeson , I think he was in those movies .   I will download those movies do watch . Who directed ?",user,"{'paths': [['Taken 2', 'starred_actors', 'Liam Neeson']], 'render': 'Taken 2 is starring Liam Neeson'}",4738,"i do i like a million ways to die in the west , i think he was in those movies .   i will download those movies do watch . who directed ?",['A Million Ways to Die in the West'],['Liam Neeson'],"['O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['starred_actors'],
